20283,CHHALIYA MERA NAAM ,CHHALIA (1960) ,MUKESH 
20284,CHHALKE TERI AANKHON SE ,ARZ00(1965) ,MOHD. RAFI 
20285,CHHOD DE SARI DUNIYA ,SARASWATI CHANDRA ,LATA MANGESHKAR 
20286,CHHODO KAL KI BAATEIN ,HUM HINDUSTANI ,MUKESH 
20287,CHHODO SANAM KAAHE KA GAM ,KUDRAT ,KISHORE, ANETTE 
20288,CHHOO LENE DO ,KAAJAL ,MOHD. RAFI 
20289,CHHOTI SI KAHANI SE ,IJAAZAT ,ASHA BHOSLE 
20290,CHHOTI SI IYEH ZINDAGANI ,AAH ,MUKESH 
20291,CHHUP GAYE SARE NAZARE ,DO RAASTEN ,LATA, MOHD. RAFI 
20292,CHHUPA LO YUN DIL ,MAMTA ,HEMANT KUMAR, LATA 
20293,CHIDIYA CHIDIYA ,DUSHMAN(1998) ,CHORUS 
20294,CHIL CHIL CHILLA KE ,HALF TICKET ,KISHORE KUMAR 
20295,CHINGARI KOI BHADKE ,AMARPREM ,KISHORE KUMAR 
20296,CHIRAG DIL KA JALAAO ,CHIRAG ,MOHD. RAFI 
20297,CHITTHI NA KOI SANDES ,DUSHMAN ,JAGJIT SINGH 
20298,CHOCLATE LIME JUICE ,HUM AAPKE HAIN KAUN ,LATA MANGESHKAR 
20299,CHORI CHORI ,OM JAI JAGDISH ,SONU NIGAM, ALKA YAGNIK 
20300,CHORI CHORI KOI AAYE ,NOORIE ,LATA MANGESHKAR 
20301,CHOTI SI UMAR MEIN ,BAIRAAG ,LATA MANGESHKAR 
20302,CHUN CHUN GHUNGARU BOLE ,FAAGUN ,ASHA BHOSLE 
20303,CHUN CHUN KARTI AAYI ,AB DILLI DOOR NAHIN ,MOHD. RAFI 
20304,CHUP CHUP KHADE HO ,BADI BAHEN ,LATA,PREMLATA 
20305,CHUPKE CHUPKE RAAT DIN ,NIKAAH ,GHULAM ALI 
20306,CHURA LIYA HAI TUMNE JO DIL KO ,YAADON KI BARAAT ,ASHA BHOSLE, MOHD. RAFI 
20307,CHURAAYA CHURAAYA ,REHNA HAI TERE DIL MEIN ,PREETI, PINKY 
20308,CRY CRY ,JHOOTA HI SAHI ,SHREYA, RASHID ALI 
20309,DAFLI WALE DAFLI BAJA ,SARGAM ,LATA, MOHD.RAFI 
20310,DAGA DAGA VAI VAI VAI ,KALITOPILAL RUMAL ,LATA MANGESHKAR 
